Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1CC2CA,2019.09,524.132,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2019.12,516.651,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2020.03,444.847,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2020.06,348.318,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2020.09,503.119,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2020.12,475.924,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC3CA,2016.06,2247.71,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2016.09,2216.005,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2016.12,2201.123,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2017.03,2063.277,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2017.06,2242.174,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2017.09,2279.911,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2017.12,2361.189,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2018.03,2229.447,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2018.06,2412.505,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2018.09,2449.281,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2018.12,2429.15,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2019.03,2175.696,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2019.06,2428.645,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2019.09,2409.721,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
